Thread ID: 2177716020
Total: 6.421089

 %self     total     self     wait    child    calls  name


Thread ID: 2172398400
Total: 6.139684

 %self     total     self     wait    child    calls  name


Thread ID: 2172310840
Total: 2.915911

 %self     total     self     wait    child    calls  name


Thread ID: 2172033640
Total: 2.713558

 %self     total     self     wait    child    calls  name


Thread ID: 2148303280
Total: 6.675153

 %self     total     self     wait    child    calls  name
  8.94      2.18     0.60     0.00     1.58    13990  REXML::Attributes#get_attribute
  5.59      3.54     0.37     0.00     3.17     2634  REXML::XPathParser#expr(d1)
  3.65      0.25     0.24     0.00     0.01        1  <Class::Nokogiri::XML::Document>#read_io
  3.61      2.45     0.24     0.00     2.20    14493  Array#each
  3.60      0.24     0.24     0.00     0.00   131649  Kernel#kind_of?
  3.04      0.98     0.20     0.00     0.77    11962  REXML::Element#root
  3.00      0.22     0.20     0.00     0.02      631  REXML::Parent#each
  2.68      0.71     0.18     0.00     0.53    11409  REXML::Element#root(d1)
  2.68      0.18     0.18     0.00     0.00    46579  String#==
  2.45      2.38     0.16     0.00     2.21    13869  REXML::Attributes#[]
  2.21      0.15     0.15     0.00     0.00    84436  Kernel#nil?
  2.01      0.47     0.13     0.00     0.34     8580  REXML::Element#root(d2)
  1.92      0.30     0.13     0.00     0.17     1699  REXML::Parsers::BaseParser#pull
  1.90      0.22     0.13     0.00     0.09    24179  Kernel#clone
  1.84      3.13     0.12     0.00     3.01     3046  REXML::Element#namespace
  1.65      0.30     0.11     0.00     0.19     6326  Array#each(d2)
  1.63      1.32     0.11     0.00     1.21    12438  REXML::Element#document
  1.58      2.21     0.11     0.00     2.10     3032  REXML::Element#namespace(d1)
  1.55      0.10     0.10     0.00     0.00    64769  Symbol#===
  1.47      0.30     0.10     0.00     0.20     6267  REXML::Element#root(d3)
  1.41      0.09     0.09     0.00     0.00    15562  String#=~
  1.34      3.27     0.09     0.00     3.19     1590  Array#delete_if
  1.31      0.94     0.09     0.00     0.86     5749  Array#each(d1)
  1.16      1.56     0.08     0.00     1.48     2200  REXML::Element#namespace(d2)
  1.15      0.08     0.08     0.00     0.00    44278  Array#<<
  1.06      0.17     0.07     0.00     0.10     4573  REXML::Element#root(d4)
  1.02      0.07     0.07     0.00     0.00    38987  NilClass#nil?
  0.99      0.36     0.07     0.00     0.30     5020  Array#dclone(d2)
  0.98      0.07     0.07     0.00     0.00    20545  Symbol#dclone
  0.94      0.06     0.06     0.00     0.00    27059  Hash#fetch
  0.93      0.27     0.06     0.00     0.21    11633  REXML::Document#doctype
  0.93      0.18     0.06     0.00     0.12    12928  Object#dclone
  0.93      1.07     0.06     0.00     1.01     1736  REXML::Element#namespace(d3)
  0.92      0.06     0.06     0.00     0.00    33828  Kernel#==
  0.87      0.66     0.06     0.00     0.60       15  REXML::Parsers::TreeParser#parse
  0.78      0.70     0.05     0.00     0.65     1448  REXML::Element#namespace(d4)
  0.77      2.84     0.05     0.00     2.79     3582  REXML::XPathParser#get_namespace
  0.76      0.43     0.05     0.00     0.38    12572  Enumerable#find
  0.74      0.41     0.05     0.00     0.36     1378  REXML::Element#namespace(d5)
  0.70      0.05     0.05     0.00     0.00    20881  String#[]
  0.68      0.05     0.05     0.00     0.00    27151  Fixnum#==
  0.65      0.04     0.04     0.00     0.00    26364  Array#length
  0.65      0.08     0.04     0.00     0.04     3096  REXML::Element#root(d5)
  0.58      0.04     0.04     0.00     0.01     3493  REXML::Attribute#prefix
  0.58      0.04     0.04     0.00     0.00    11571  REXML::Element#node_type
  0.56      0.81     0.04     0.00     0.78     2831  Array#dclone
  0.55      0.51     0.04     0.00     0.47     2801  Array#dclone(d1)
  0.54      5.36     0.04     0.00     5.32       97  REXML::XPathParser#expr
  0.53      1.22     0.04     0.00     1.18      330  Array#each_index(d7)
  0.50      0.03     0.03     0.00     0.00    15740  Array#initialize_copy
  0.48      0.03     0.03     0.00     0.00    18539  Fixnum#>
